movetext,white_elo,black_elo,white_diff,black_diff,opening,eco
1. d4 e6 2. e3 Qe7 3. g3 Qf6 4. Bg2 Qg5 5. Ne2 Qg4 6. O-O Qf5 7. Nf4 Qf6 8. Nd3 Qf5 9. Bd2 Qf6 10. b3 Qf5 11. c4 Qf6 12. Nc3 Qf5 13. Ne2 Qg4 14. Ndf4 Qf5 15. Nc3 Qf6 16. d5 g5 17. Nd3 e5 18. Qc2 Qf5 19. Qb1 e4 20. Bxe4 Qf6 21. Bg2 Qf5 22. Be4 Qf6 23. Ne1 Bb4 0-1,1638.0,1500.0,-15.0,16.0,Horwitz Defense,A40
1. e3 c5 2. e4 d6 3. Nf3 Nc6 4. d4 cxd4 5. Nxd4 Nf6 6. Nc3 e5 7. Nb3 h6 8. Be2 g5 9. O-O Be6 10. Be3 d5 11. exd5 Nxd5 12. Nxd5 Bxd5 13. Bf3 Bxf3 14. Qxf3 Bg7 15. Rfd1 Qc7 16. Nc5 O-O 17. c4 b6 18. Ne4 Nb4 19. b3 Nc2 20. Rac1 Nxe3 21. fxe3 f5 22. Ng3 e4 23. Qh5 Qc5 24. Nf1 Rad8 25. Kh1 Rxd1 26. Rxd1 Kh7 27. Rd5 Qa3 28. h4 Qxa2 29. hxg5 Qb1 30. g6+ Kg8 31. Rxf5 Qxb3 32. Rxf8+ Kxf8 33. Qf5+ Kg8 34. Qf7+ Kh8 35. Ng3 Qd1+ 36. Kh2 Qd8 37. Kh3 Qf6 38. Nf5 Qxf7 39. gxf7 Kh7 40. Nxg7 Kxg7 41. Kg4 Kxf7 42. Kf5 a5 43. Kxe4 a4 44. Kd3 a3 45. Kc2 Kf6 46. Kb3 Kg5 47. Kxa3 h5 48. Kb4 Kg4 49. Kb5 h4 50. Kxb6 Kg3 51. c5 Kxg2 52. c6 h3 53. c7 h2 54. c8=Q h1=Q 55. Qg4+ Kf2 56. Qe4 Qxe4 0-1,1562.0,1556.0,-16.0,11.0,Van't Kruijs Opening,A00
1. d4 c5 2. e3 cxd4 3. Qxd4 g6 4. Qd1 Nf6 5. Qd4 Bg7 6. b3 Nc6 7. Bb2 Nxd4 8. Bxd4 O-O 9. g3 b6 10. c4 Bb7 11. f3 d6 12. Bg2 Qd7 13. Ne2 Rac8 14. O-O e5 15. Bb2 Qc6 16. f4 Qxg2# 0-1,1672.0,1795.0,-7.0,8.0,Old Benoni Defense,A43
1. e4 e6 2. Nf3 g6 3. d4 h5 4. e5 g5 5. Bxg5 Be7 6. Bxe7 Nxe7 7. Bd3 Ng8 8. O-O Nh6 9. c3 Ng4 10. h3 Nh6 11. Qd2 b6 12. Ng5 Bb7 13. Qf4 Ng8 14. Qxf7# 1-0,1920.0,1516.0,3.0,-2.0,French Defense: Knight Variation,C00
1. e4 e5 2. Nf3 Nc6 3. Nc3 Bc5 4. d3 Nf6 5. Be3 Ng4 6. Bxc5 b6 0-1,1100.0,1208.0,-109.0,38.0,Three Knights Opening,C46
1. e4 c5 2. Nf3 e6 3. c3 d5 4. exd5 exd5 5. d4 Nf6 6. Be2 Be7 7. O-O O-O 8. Re1 Nc6 9. Bd3 Re8 10. Bc2 Bg4 11. Bg5 h6 12. Bxf6 Bxf6 13. Qd3 g6 14. h3 Bf5 15. Qd2 Bxc2 16. Qxc2 Rxe1+ 17. Nxe1 cxd4 18. cxd4 Nxd4 19. Qd3 Qe8 20. Nc3 Nf5 21. Nf3 Bxc3 22. bxc3 Rd8 23. Rb1 b6 24. Re1 Qd7 25. g4 Ng7 26. Qd2 Re8 27. Rxe8+ Qxe8 28. Qxh6 Qe2 29. Kg2 Qe6 30. Ng5 Qf6 31. Qh7+ Kf8 32. Qh4 Ke7 33. Nf3 Qxh4 34. Nxh4 Ne6 35. f3 Nf4+ 36. Kf2 Nd3+ 37. Ke3 Nc1 38. a3 Na2 39. Ng2 Nxc3 40. Kd3 Nb5 41. Nf4 Kd6 42. Ne2 Nc7 43. Nd4 Ne6 44. Nb5+ Kc6 45. Nxa7+ Kb7 46. Nb5 Nc5+ 0-1,1524.0,1888.0,-3.0,3.0,Sicilian Defense: Delayed Alapin Variation,B40
1. d4 c6 2. f4 d5 3. Nf3 Bf5 4. Ne5 Nf6 5. e3 e6 6. Bd3 Bxd3 7. Qxd3 Nfd7 8. Qe2 Bd6 9. O-O f6 10. Qh5+ g6 11. Nxg6 hxg6 12. Qxh8+ Ke7 13. Qh7+ Kf8 14. Qxg6 Qe7 15. Nd2 Na6 16. c3 Nc7 17. Nf3 Ne8 18. Nh4 Ng7 19. b4 Qf7 20. Qd3 Re8 21. g3 b6 22. a4 c5 23. Ba3 cxb4 24. Bxb4 a5 25. Bxd6+ Kg8 1-0,1861.0,1853.0,13.0,-11.0,Queen's Pawn,A40
1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Nf3 e6 5. Bc4 Be7 6. O-O b6 7. d4 Bb7 8. d5 exd5 9. Nxd5 Bxd5 10. Bxd5 c6 11. Bb3 Qxd1 12. Rxd1 Nf6 13. Bf4 O-O 14. Rd3 Nbd7 15. Rad1 Nc5 16. Rc3 Nxb3 17. axb3 c5 18. Rcd3 Rfd8 19. Ne5 Rxd3 20. Rxd3 Ne4 21. Nc6 Bf6 22. f3 Ng5 23. Rd7 h6 24. Rxa7 Rc8 25. Ne7+ Bxe7 26. Rxe7 Ne6 27. Bg3 Nd4 28. Rb7 Rc6 29. b4 cxb4 30. c3 bxc3 31. bxc3 Ne2+ 32. Kf2 Nxc3 33. Bc7 Nd5 34. Be5 Rc2+ 35. Kg3 Rc5 36. Bd4 Rb5 37. Kg4 Rb4 38. Kf5 Rxd4 39. Ke5 Rd2 40. Rd7 Rxg2 41. Kxd5 Rd2+ 42. Kc6 Rxd7 43. Kxd7 b5 44. Kc6 b4 0-1,1803.0,1665.0,-17.0,15.0,Scandinavian Defense: Mieses-Kotroc Variation,B01
1. e4 e5 2. Nc3 Nf6 3. Bc4 Bc5 4. d3 c6 5. Bg5 h6 6. Bxf6 gxf6 7. f3 d5 8. exd5 cxd5 9. Bxd5 Nc6 10. Bxc6+ bxc6 11. Ne4 Qd4 12. c3 Qe3+ 13. Qe2 Bf5 14. Qxe3 Bxe3 15. Nxf6+ Ke7 16. Ne4 Rhd8 17. Ke2 Bf4 18. g3 Bg5 19. h4 Bxe4 20. fxe4 Bf6 21. Nf3 Rab8 22. b3 Rb5 23. g4 Rc5 24. Rac1 Rb8 25. g5 Bg7 26. Rc2 hxg5 27. Nxg5 f6 28. Nf3 f5 29. exf5 e4 30. dxe4 Bxc3 31. h5 Kf6 32. h6 Rh8 33. h7 Re5 34. Nxe5 Kxe5 35. Rxc3 Kxe4 36. Rxc6 Kxf5 37. Rc7 a6 38. Ra7 Ke4 39. Rxa6 Kd4 40. Rc6 Kd5 41. Rcc1 Kd4 42. a4 Kd5 43. a5 Kd6 44. b4 Ke7 45. a6 Kd6 46. b5 Ke7 47. a7 Kf6 48. b6 Ke7 49. b7 Kd7 50. a8=Q Rc8 51. Rxc8 Ke6 52. Re8+ Kd6 53. Qd8+ Kc6 54. Rh6+ Kxb7 55. Re7# 1-0,1344.0,1252.0,10.0,-42.0,"Bishop's Opening: Vienna Hybrid, Spielmann Attack",C26
1. e4 e5 2. Bc4 Nc6 3. d3 Bc5 4. Nf3 d6 5. Nc3 h6 6. h3 Nge7 7. O-O a6 8. Bd2 Na5 9. b4 Nxc4 10. bxc5 Nxd2 11. Qxd2 dxc5 12. Nxe5 O-O 13. Nc4 b5 14. Na3 b4 15. Nc4 bxc3 16. Qxc3 Be6 17. Ne5 Qd4 18. Qxd4 cxd4 19. Rab1 Rab8 20. Rxb8 Rxb8 21. Re1 Rb2 22. Nc4 Rxc2 23. a4 Bxc4 24. dxc4 Ra2 25. Rd1 c5 26. e5 Rxa4 27. f3 Rxc4 28. g4 a5 29. f4 a4 30. h4 Rc2 31. g5 a3 32. gxh6 gxh6 33. f5 Nxf5 34. e6 fxe6 35. h5 a2 36. Ra1 d3 37. Kf1 c4 38. Ke1 c3 39. Kd1 d2 40. Rxa2 Rxa2 41. Ke2 c2 42. Kxd2 e5 43. Kc3 c1=Q+ 44. Kd3 Qa3+ 45. Ke4 Qh3 46. Kd5 Qxh5 47. Ke6 Rd2 48. Kxe5 Qg6 49. Kf4 Re2 50. Kf3 Qg5 0-1,1246.0,1850.0,-4.0,1.0,Italian Game: Giuoco Pianissimo,C50
1. d4 c5 2. e3 cxd4 3. exd4 d6 4. f4 Nf6 5. Bc4 d5 6. Bd3 g6 7. Nf3 Bg7 8. c3 Bf5 9. O-O Bxd3 10. Qxd3 Nbd7 11. Nbd2 Rc8 12. a4 e6 13. Ne5 Nxe5 14. fxe5 Ne4 15. Nxe4 dxe4 16. Qxe4 O-O 17. Qxb7 Qc7 18. Qxc7 Rxc7 19. Bg5 Rb8 20. Ra2 Rb3 21. Bf6 Rcb7 22. Bxg7 Kxg7 23. Rf2 Kf8 24. g3 1-0,1874.0,1685.0,7.0,-6.0,Old Benoni Defense,A43
1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Nxd4 Bc5 5. Nxc6 Bxf2+ 6. Kxf2 Qf6+ 7. Ke1 Qxc6 8. Qd5 Qxc2 9. Nc3 d6 10. e5 Ne7 11. Qd2 0-1,1470.0,1637.0,-6.0,6.0,Scotch Game: Classical Variation,C45
1. e4 c5 2. Bc4 e6 3. d4 cxd4 4. Qxd4 Nc6 5. Qd3 Nf6 6. Nf3 a6 7. O-O b5 8. Bb3 Na5 9. Bg5 h6 10. Bh4 g5 11. Bg3 Bb7 12. Re1 g4 13. Nd4 d6 14. Bh4 e5 15. Nf5 Be7 16. Bxf6 Bxf6 17. Nxd6+ Ke7 18. Nf5+ Ke8 19. Bd5 Bxd5 20. Qxd5 Qxd5 21. exd5 Nc4 22. b3 Nb6 23. Nc3 e4 24. Rxe4+ Kd7 25. Re3 Nxd5 26. Rd1 Bxc3 27. Rxc3 Ke6 28. Nd4+ Kf6 29. Rc6+ Kg5 30. Ne2 Nb4 31. Rc5+ f5 32. a3 Na2 33. Ra1 Rhe8 34. Kf1 Rad8 35. Nc3 Nxc3 36. Rxc3 Rd2 37. Rc5 Ree2 38. h4+ Kxh4 39. Rxf5 g3 40. Rf4+ Kg5 41. fxg3 Rxg2 42. Re1 Rxg3 43. Rf2 Rxf2+ 44. Kxf2 Rc3 45. Re2 h5 46. Rd2 h4 47. Kg2 a5 48. Rd5+ Kg4 49. Rxb5 Rxc2+ 50. Kf1 Kf3 51. Re5 Rc3 52. b4 Rxa3 53. b5 Rb3 54. Rh5 Rb1# 0-1,1584.0,1663.0,-9.0,8.0,Sicilian Defense: Bowdler Attack,B20
1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Bb5+ c6 5. Bd3 e6 6. Nf3 h6 7. O-O Nf6 8. Re1 Bd6 9. Bf5 O-O 10. Bh3 Bc7 11. d3 Nh7 12. b3 Qd6 13. Bb2 Ng5 14. g3 Nxh3+ 15. Kf1 f5 16. Ne5 f4 17. Ne4 fxg3 18. Nxd6 Bxd6 19. hxg3 Nxf2 20. Qe2 Ng4+ 21. Nf3 Bxg3 22. Ba3 Rf7 23. Kg2 Bxe1 24. Rxe1 Na6 25. Kg3 h5 26. Rf1 Bd7 27. Ng5 Rxf1 28. Qxf1 b5 29. Qf7+ Kh8 30. Qxd7 1-0,1541.0,1663.0,16.0,-16.0,Scandinavian Defense: Mieses-Kotroc Variation,B01
1. d4 c5 2. e3 cxd4 3. Qxd4 Nc6 4. Qd1 g6 5. Nf3 Bg7 6. Be2 Nf6 7. O-O O-O 8. Nbd2 d5 9. c3 e5 10. b3 d4 11. cxd4 exd4 12. Nxd4 Nxd4 13. exd4 Qxd4 14. Rb1 Bf5 15. Bb2 Qb6 16. Ra1 Rad8 17. Bf3 Be4 18. Bxe4 Nxe4 19. Bxg7 Kxg7 20. Nc4 Rxd1 21. Nxb6 Rxf1+ 22. Kxf1 axb6 23. Re1 Re8 24. f3 Nd2+ 25. Kf2 Rxe1 26. Kxe1 Nb1 27. Kd1 Nc3+ 28. Kc2 Nxa2 29. g3 Nb4+ 30. Kc3 Nd5+ 31. Kd4 Nb4 32. Kc4 Nc2 33. Kb5 Ne3 34. Kxb6 Kf6 35. Kxb7 Ke6 36. Kc6 Nd5 37. Kc5 Nc3 38. b4 Kd7 39. b5 Kc7 40. b6+ Kb7 41. Kd6 f6 42. Ke7 Nd5+ 43. Ke6 Nxb6 44. Kxf6 Nd5+ 45. Kg7 Ne7 46. Kxh7 Kc6 47. Kg7 Kd6 48. Kf6 Kd7 49. f4 Ke8 50. h4 Kf8 51. g4 Kg8 52. Kxe7 Kh7 53. Kf6 Kh6 54. g5+ Kh5 55. f5 gxf5 56. Kxf5 Kxh4 57. Kf6 Kh5 58. g6 Kh6 59. Kf7 1-0,1680.0,1786.0,13.0,-15.0,Old Benoni Defense,A43
1. e4 e5 2. Nf3 f6 3. Nc3 c5 4. d3 Qa5 5. Be2 d6 6. O-O g5 7. g3 h5 8. h3 g4 9. Nh4 Ne7 10. hxg4 hxg4 11. Bxg4 Bxg4 12. Qxg4 Rg8 13. Qh5+ Kd7 14. Bh6 Nbc6 15. Bxf8 Raxf8 16. Nf5 Ng6 17. Ne3 Qd8 18. Ned5 a6 19. Qf5+ Ke8 20. Qe6+ Nge7 21. Qxe7+ Nxe7 22. b3 Rh8 23. a4 Ng6 24. Rab1 Rfg8 25. b4 b5 26. axb5 Nh4 27. bxa6 Qd7 28. bxc5 Qa7 29. Nxf6+ Kf7 30. Nxg8 Rxg8 31. Ra1 Nf3+ 32. Kg2 Nd2 33. Rfd1 Nxe4 34. dxe4 Qxc5 35. Rd3 Qc8 36. Ra2 Rh8 37. a7 Qb7 38. Nd5 Qb1 39. Raa3 Qxc2 40. Nc3 Qxd3 41. f3 Qd2+ 42. Kf1 Rh2 43. Ra2 Qd3+ 44. Kg1 Rxa2 45. Nxa2 Qa6 46. g4 Qxa2 47. a8=Q Qxa8 48. Kf2 Qa7+ 49. Kg3 Kg6 50. f4 Qc5 51. Kf3 d5 52. exd5 Qxd5+ 53. Ke3 e4 54. f5+ Kg5 55. Kf2 Qd4+ 56. Kg3 e3 57. f6 Qxf6 58. Kg2 e2 59. Kg3 e1=Q+ 60. Kh3 Qh1+ 61. Kg3 Qh5 62. Kg2 Qxg4+ 63. Kh2 Kh4 64. Kh1 Qff3+ 65. Kh2 Qf2+ 66. Kh1 Qgg2# 0-1,1283.0,1224.0,-76.0,13.0,King's Pawn Game: Damiano Defense,C40
1. e4 c5 2. Nf3 e6 3. c3 d5 4. exd5 exd5 5. d4 Nf6 6. Bg5 Be7 7. Bd3 O-O 8. O-O cxd4 9. Nxd4 Nc6 10. Bc2 Bg4 11. Qd3 g6 12. Qg3 Bd6 13. Qd3 Bf5 14. Qd2 Be7 15. Bxf5 gxf5 16. Nxf5 Ne4 17. Bxe7 Nxd2 18. Bxd8 Nxf1 0-1,1521.0,1891.0,-3.0,3.0,Sicilian Defense: Delayed Alapin Variation,B40
1. d4 e6 2. f4 Nf6 3. Nf3 Be7 4. e3 O-O 5. Bd3 c5 6. c3 d5 7. a4 c4 8. Bc2 Bd7 9. Nbd2 Nc6 10. Ne5 Nxe5 11. fxe5 Ne8 12. O-O f5 13. Qh5 g6 14. Qh6 Bg5 15. Qh3 Ng7 16. Nf3 Be7 17. g4 fxg4 18. Qxg4 Nf5 19. e4 1-0,1881.0,1669.0,6.0,-5.0,Horwitz Defense,A40
1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Ne7 5. f4 Nbc6 6. Bd3 Bd7 7. Nf3 cxd4 8. cxd4 Ng6 9. Be3 Bb4+ 10. Nc3 O-O 11. O-O Rc8 12. a3 Nxd4 13. Nxd4 Bxc3 14. bxc3 f6 15. Bxg6 hxg6 16. Qb3 fxe5 17. fxe5 Rxf1+ 18. Rxf1 Qc7 19. Nf3 Qxc3 20. Qxb7 Qxe3+ 21. Kh1 Rd8 22. Qc7 Qb6 23. Qc2 Rf8 24. Qxg6 Rf5 25. Rb1 0-1,1643.0,1786.0,-7.0,7.0,French Defense: Advance Variation #2,C02
1. c4 Nf6 2. b3 g6 3. g3 d5 4. Bg2 d4 5. Bb2 Nc6 6. Nf3 Bg4 7. Nxd4 Nxd4 8. Bxb7 Rb8 9. Bg2 Bxe2 10. Qc1 Bd3 11. Nc3 e5 12. Nd5 Nxd5 13. Bxd5 Bb4 14. a3 Ba5 15. b4 Bxb4 16. axb4 Nb3 17. Qc3 Nxa1 18. Qxd3 Rxb4 19. Bxa1 O-O 20. O-O c6 21. Bc3 Rb3 22. Qe3 cxd5 23. Qxe5 Re8 24. Qg7# 1-0,1627.0,1316.0,3.0,-6.0,English Opening: Anglo-Indian Defense,A15
1. d4 c5 2. c4 cxd4 3. Qxd4 Nc6 4. Qd1 Nf6 5. Nc3 g6 6. Nf3 Bg7 7. Bg5 O-O 8. e3 d6 9. a3 b6 10. Qc2 Bb7 11. Bd3 Ne5 12. O-O-O Nxd3+ 13. Rxd3 Qc7 14. Nb5 Qc6 15. Nfd4 Qxg2 16. Rdd1 Qxg5 17. h4 Qh5 18. Rhg1 Bf3 19. Rde1 Rfc8 20. Rg3 Nd5 21. Nxf3 Nf6 22. Rg5 Qh6 23. Rh1 1-0,1894.0,1518.0,2.0,-2.0,Old Benoni Defense,A43
1. e4 e5 2. Nf3 Nc6 3. Bb5 d6 4. Bxc6+ bxc6 5. d4 Bg4 6. h3 Bxf3 7. Qxf3 exd4 8. O-O Be7 9. e5 d5 10. e6 fxe6 11. Re1 Qd7 12. b3 Nf6 13. Bb2 c5 14. c3 dxc3 15. Bxc3 O-O 16. Qe3 d4 17. Qxe6+ Qxe6 18. Rxe6 Bd6 19. Bd2 Rae8 20. Rxe8 Rxe8 21. Na3 Re2 22. Bg5 Ne4 23. Bh4 d3 24. Kf1 Nc3 25. Bg3 Bxg3 26. fxg3 d2 27. Rd1 Kf7 28. Nb5 Nxb5 29. Kxe2 Nc3+ 30. Kxd2 Nxd1 31. Kxd1 Ke6 32. Ke2 Ke5 33. Ke3 c6 34. g4 g6 35. h4 a5 36. a3 h6 37. g3 Kd5 38. g5 h5 39. Kf4 Kd4 40. g4 hxg4 41. Kxg4 Kc3 42. h5 gxh5+ 43. Kxh5 Kxb3 44. g6 c4 45. g7 c3 46. g8=Q+ Kb2 47. Qb8+ 1-0,1480.0,1649.0,16.0,-16.0,Ruy Lopez: Steinitz Defense,C62
1. Nc3 c5 2. Nf3 e6 3. e4 d5 4. h3 d4 5. Ne2 Nc6 6. Neg1 e5 7. Nh2 Nf6 8. g3 Be7 9. f3 c4 10. Bxc4 Qa5 11. b4 Qc7 12. b5 Nb4 13. a3 Qxc4 14. axb4 Bxb4 15. Qe2 Qc7 16. Ba3 Bd6 17. Bxd6 Qxd6 18. d3 O-O 19. Qd2 b6 20. Ne2 Be6 21. O-O Nh5 22. g4 Nf4 23. Nxf4 exf4 24. Kg2 h5 25. Qf2 hxg4 26. fxg4 Qe5 27. Qf3 Qxb5 28. Rab1 Qg5 29. h4 Qxh4 30. Qxf4 Rac8 31. Nf3 Rxc2+ 0-1,1516.0,1899.0,-3.0,3.0,Van Geet Opening,A00
1. e4 c5 2. Bc4 e6 3. Nf3 a6 4. h3 Qc7 5. d4 cxd4 6. Qxd4 Nc6 7. Qc3 Bb4 8. b3 0-1,1496.0,1550.0,-9.0,17.0,Sicilian Defense: Bowdler Attack,B20
1. e4 e5 2. Nf3 d6 3. Nc3 Bg4 4. h3 Bh5 5. g4 Bg6 6. Bc4 Be7 7. Nd5 Nd7 8. Nxe7 Qxe7 9. d3 Nb6 10. Bb3 h5 11. g5 h4 12. a3 O-O-O 13. Be3 f6 14. Bxb6 axb6 15. gxf6 Qxf6 16. Qe2 Bh5 17. Qe3 Bxf3 18. Rg1 Nh6 19. Qg5 Qxg5 20. Rxg5 Rdf8 21. Kd2 g6 22. Rag1 Bh5 23. c4 Rxf2+ 24. Kc3 Rhf8 25. Bd1 Nf7 26. Rg5g2 Rxg2 0-1,1490.0,1500.0,-8.0,170.0,Philidor Defense #2,C41
1. d4 d5 2. f4 Bf5 3. Nf3 Qd6 4. e3 f6 5. Nh4 g6 6. Nxf5 gxf5 7. Qh5+ Kd8 8. Qxf5 Nd7 9. g3 Nh6 10. Qh5 c5 11. c3 cxd4 12. exd4 f5 13. Bh3 Qe6+ 14. Kf2 Nf6 15. Qf3 Nhg4+ 16. Kg2 Rg8 17. Bd2 Ne4 18. Re1 h5 19. Bxg4 hxg4 20. Qd3 a6 21. a4 Kd7 22. b4 Bh6 23. Na3 Rgc8 24. Rac1 Qd6 25. Re2 Nxd2 26. Qxd2 b5 27. axb5 axb5 28. Nxb5 Qc6 29. Qe3 Bf8 30. Qd3 Rcb8 31. Qxf5+ Kd8 32. Qxf8+ Kd7 33. Qf5+ Ke8 34. c4 dxc4+ 35. Qe4 Qxe4+ 36. Rxe4 Rxb5 37. Rxc4 Ra2+ 38. Kf1 Rxh2 39. Re5 Rb7 40. Kg1 Rh3 41. Kg2 Ra7 42. Rc2 Ra3 43. b5 Raxg3+ 44. Kf2 Rh2+ 45. Kxg3 Rxc2 46. Kxg4 Rg2+ 47. Kf5 Rg7 48. Re6 Kd7 49. Ke5 Rg8 50. f5 Rb8 51. d5 Rxb5 52. f6 exf6+ 53. Rxf6 Rxd5+ 0-1,1887.0,1623.0,-21.0,19.0,Queen's Pawn Game,D00
1. e4 d5 2. exd5 Qxd5 3. c4 Qd8 4. Nc3 e6 5. Nf3 Bb4 6. d4 Be7 7. d5 exd5 8. cxd5 Nf6 9. Qa4+ Bd7 10. Bb5 Bxb5 11. Qxb5+ c6 12. dxc6 Nxc6 13. Ne5 O-O 14. Nxc6 bxc6 15. Qxc6 Rc8 16. Qf3 Re8 17. O-O Bb4 18. Rd1 Qc7 19. Bf4 Qc5 20. Rac1 Qf8 21. Nd5 Nxd5 22. Qxd5 Rxc1 23. Rxc1 Re1+ 24. Rxe1 Bxe1 25. Bd2 Bxd2 26. Qxd2 Qb8 27. h3 h6 28. b3 Qb6 29. Qd3 Qa5 30. a4 Qe1+ 31. Kh2 Qe5+ 32. g3 Qb2 33. Kg2 Qf6 34. Qe3 Qa6 35. h4 Qb7+ 36. Qf3 Qb6 37. Qe3 Qb7+ 38. f3 Qd7 39. g4 Qc7 40. g5 hxg5 41. hxg5 Qc2+ 42. Kg3 Qc7+ 43. f4 g6 44. Kf3 Qb7+ 45. Kg4 Qd7+ 46. Kg3 Qb7 47. Qd3 Qb6 48. Qf3 Qg1+ 49. Qg2 Qe3+ 50. Kg4 Qxb3 51. Qa8+ Kg7 52. Qxa7 Qe6+ 53. Kf3 Qd5+ 54. Ke3 Qe6+ 55. Kd3 Qf5+ 56. Ke3 Qh3+ 57. Ke4 Qf5+ 58. Ke3 Qh3+ 59. Kd4 Qf5 60. Ke3 1/2-1/2,1771.0,1693.0,-3.0,3.0,Scandinavian Defense: Mieses-Kotroc Variation,B01
1. e3 c5 2. d4 e6 3. dxc5 Bxc5 4. Nf3 Be7 5. Bc4 Nf6 6. b3 Nc6 7. Bb2 O-O 8. O-O d5 9. Bd3 Bd6 10. h4 e5 11. e4 dxe4 12. Bxe4 Nxe4 13. Qd3 Nf6 14. Nbd2 Re8 15. g4 e4 16. Nxe4 Nxe4 17. Rfe1 Nf6 18. g5 Rxe1+ 19. Rxe1 Nh5 20. Nd4 Nxd4 21. Qxd4 Qc7 22. Re8+ Bf8 0-1,1516.0,1896.0,-3.0,3.0,Van't Kruijs Opening,A00
1. e4 Nc6 2. Nc3 e5 3. Bc4 Nf6 4. d3 h6 5. f3 Bb4 6. Bd2 Nd4 7. Nge2 Nxe2 8. Qxe2 d6 9. Nd5 Bxd2+ 10. Qxd2 Nxd5 11. Bxd5 Qe7 12. Qf2 c6 13. Bb3 a5 14. a3 b5 15. Qg3 O-O 16. Ke2 a4 17. Ba2 Be6 18. h3 Bxa2 19. Rxa2 Qe6 20. Raa1 Ra7 21. f4 Re7 22. f5 Qf6 23. Qg4 Kh7 24. g3 Rg8 25. h4 d5 26. Rad1 d4 27. Qf3 c5 28. g4 g5 29. hxg5 Qxg5 30. Qh3 f6 31. Rdg1 c4 32. Qh5 Qe3+ 33. Kf1 cxd3 34. cxd3 Qxd3+ 35. Kf2 Qe3+ 36. Kf1 d3 37. g5 Qe2+ 38. Qxe2 dxe2+ 39. Kxe2 Rxg5 40. Rxg5 fxg5 41. Kd3 Rd7+ 42. Kc3 Rd4 43. b3 axb3 44. Kxb3 Rxe4 45. Rf1 Rf4 46. f6 Rxf1 47. f7 Kg7 48. f8=Q+ Kxf8 49. Kb4 Rb1+ 50. Kc5 Ke7 51. a4 bxa4 52. Kd5 Rb5+ 53. Ke4 a3 54. Kf5 a2 55. Kg6 Rb6+ 56. Kh5 a1=Q 57. Kg4 0-1,1519.0,1572.0,-9.0,9.0,Bishop's Opening: Vienna Hybrid,C28
1. d4 d5 2. c4 dxc4 3. Nc3 Nf6 4. Nf3 Bg4 5. Bg5 e6 6. e4 Be7 7. Bxc4 O-O 8. Qc2 Nbd7 9. O-O-O Nb6 10. Bd3 Rc8 11. Kb1 c5 12. d5 exd5 13. Bxf6 Bxf6 14. Nxd5 c4 15. Nxf6+ Qxf6 16. Be2 c3 17. b3 Bxf3 18. gxf3 Rfd8 19. Rhg1 Rxd1+ 20. Bxd1 Rd8 21. Be2 Rd2 22. Qc1 Rxe2 23. a4 c2+ 24. Ka2 Nd7 25. Rg3 Rxf2 26. Qg1 g6 27. h4 1-0,1896.0,1516.0,3.0,-3.0,Queen's Gambit Accepted: Showalter Variation,D24
1. e4 c5 2. Bc4 Nc6 3. Qh5 e6 4. d3 Nf6 5. Qf3 g6 6. Bg5 Bg7 7. Nc3 O-O 8. h4 a6 9. a3 b5 10. Ba2 Ne5 11. Qf4 d6 12. h5 Bb7 13. Bxf6 Qxf6 14. Qxf6 Bxf6 15. hxg6 hxg6 16. f3 d5 17. O-O-O d4 18. Nce2 Kg7 19. Nf4 Rh8 20. Nge2 a5 21. Ng3 a4 22. Rxh8 Rxh8 23. Nfe2 Bc6 24. c3 dxc3 25. Nxc3 Rb8 26. d4 cxd4 27. Rxd4 Nxf3 28. Rd6 Bxc3 29. Rxc6 Bd2+ 30. Kd1 Rd8 31. Ke2 Ne5 32. Rc2 Bg5 33. Rc5 Rd2+ 34. Kf1 f6 35. Rxb5 Nd3 36. Bxe6 Rd1+ 37. Ke2 Rd2+ 38. Kf1 Rf2+ 39. Kg1 Be3 40. Rb7+ Kh6 41. Ra7 Ne1 42. Bh3 Rxg2+ 43. Kh1 Rg1+ 44. Kh2 Nf3# 0-1,1482.0,1336.0,-12.0,172.0,Sicilian Defense: Bowdler Attack,B20
1. d4 d5 2. Nf3 Qd7 3. e3 Qd6 4. Bd3 Qf6 0-1,1098.0,1514.0,-3.0,2.0,Queen's Pawn Game: Zukertort Variation,D02
1. d4 d6 2. Nf3 c6 3. e3 e6 4. Bd3 f6 5. Nc3 g6 6. Qe2 h6 7. O-O f5 0-1,1095.0,1516.0,-3.0,2.0,Queen's Pawn,A41
1. d4 b6 2. Nf3 Bb7 3. e4 c6 4. Qd2 b5 5. Bd3 e6 6. Qe3 f6 7. e5 g6 0-1,1095.0,1516.0,-3.0,2.0,Owen Defense: Smith Gambit,B00
